cluster,n_senders,n_receivers,q_contrib
4,99,96,0.1831858783609888
7,51,47,0.17818727291149414
6,2,6,0.018813899419278
2,2,6,0.017068451825316338
5,3,1,0.005159300935894463
3,1,1,0.004964374932054432
1,1,1,0.0015959311816407336
0,1,2,0.0002283738344212071
