cluster,n_senders,n_receivers,q_contrib
0,145,146,0.017694550123548067
5,3,2,0.006797353845926127
4,1,1,0.0062134000485627415
3,1,1,0.00558559349719695
1,1,2,0.002266909625803874
2,1,0,0.0
