node_id,send_cluster,recv_cluster,mod_cluster,name,community_label
720575940628695043,5,5,0,SMP.LAL.6,CREa2_ventral; right
720575940628455942,5,5,0,SMP.LAL.4,nan
720575940623788040,7,6,2,AL.11,"AL local neuron,ALLN"
720575940623792648,5,5,1,AL.98,ALl1_dorsal; left
720575940632403986,5,5,1,AL.5," il3LN6, Keystone"
720575940627927573,7,7,2,AL.28,"AL local neuron,ALLN"
720575940619071005,5,5,1,AL.MB_CA.4,ALl1_dorsal; left; acetylcholine
720575940633483807,7,7,2,AL.21,ALl1_dorsal; right
720575940617537570,7,7,2,AL.64,ALl1_dorsal; right
720575940618757666,7,6,2,AL.30,ALl1_dorsal; right; serotonin
720575940613792296,4,5,0,LH.MB_VL.1,nan
720575940614956072,5,5,1,AL.17,ALv2; left; acetylcholine
720575940623201833,0,5,0,MB_PED.MB_ML.1,"MBON11-RHS, y1pedc>a/B, FBbt_00100246"
720575940631586858,7,7,2,AL.42,ALl1_dorsal; right
720575940630571052,7,7,2,AL.66,ALl1_dorsal; right
720575940632416298,7,7,2,AL.16,ALl1_dorsal; right
720575940616758322,5,5,1,AL.25,"AL local neuron,ALLN"
720575940630945335,7,7,2,AL.58,ALl1_dorsal; right
720575940631758393,0,5,0,SMP.MB_ML.1,MBON?
720575940626143806,7,7,2,AL.LH.4,"ALPN,V_ilPN"
720575940636873791,7,7,2,AL.MB_CA.13,ALad1; right; acetylcholine
720575940615160386,5,5,1,AL.LH.18,"ALPN,VL1_ilPN"
720575940611079236,7,7,2,AL.MB_CA.6,"ALPN,VA2_adPN"
720575940620975696,0,3,0,MB_ML.2,DPM-RHS
720575940631603281,5,5,1,AL.69,ALl1_dorsal; left
720575940619863125,5,5,0,LH.6,LHCENT8#1-L
720575940631899223,7,7,2,AL.52,ALl1_dorsal; right
720575940621298270,7,7,2,AL.48,ALl1_dorsal; right
720575940635066975,5,5,1,AL.57,"ALPN,VP1m_l2PN"
720575940631287912,7,7,2,AL.79,ALl1_dorsal; right
720575940616169578,7,6,2,AL.8,ALl1_dorsal; right
720575940630546540,7,5,2,AL.LH.3,"ALPN,V_ilPN"
720575940622726271,5,5,1,AL.MB_CA.2,not a neuron
720575940640031360,5,5,1,SLP.2,LHCENT1#1-L
720575940660217473,7,7,2,AL.40,ALl1_dorsal; right
720575940648633988,5,5,1,AL.77,ALl1_dorsal; left; acetylcholine
720575940648650884,7,7,2,AL.MB_CA.10,ALad1; right
720575940622999688,5,5,0,SMP.CRE.4,nan
720575940624206472,5,5,0,SMP.AL.1,SMPpv2; left
720575940623387786,5,5,0,SMP.CRE.2,nan
720575940631423116,7,7,2,AL.60,ALl1_dorsal; right
720575940631704716,5,5,1,AL.78,ALl1_dorsal; left
720575940643309197,5,5,0,MB_ML.SMP.2,SMPad3; left; glutamate
720575940634034839,7,7,2,AL.68,ALl1_dorsal; right
720575940613583001,5,4,0,MB_ML.MB_CA.1,APL-LHS
720575940613635737,5,5,0,PLP.13,"OA-VUMa6 (mx); Busch et al., 2009"
720575940612284569,7,7,2,AL.MB_CA.11,ALl1_ventral; right
720575940618295454,7,7,2,AL.LH.8,ALad1; right; acetylcholine
720575940613203119,5,5,1,AL.MB_CA.26,"ALPN,multi_ivPN"
720575940612347571,5,5,1,AL.71,ALl1_dorsal; left
720575940636576948,5,5,2,LH.AL.2,"ALPN,multi_VUMa2"
720575940622338742,5,5,1,AL.86,ALl1_dorsal; left
720575940616197819,5,5,1,AL.75,ALl1_dorsal; left
720575940617299131,5,5,1,AL.46,ALl1_dorsal; left
720575940605758142,5,1,1,AL.14,ALl1_dorsal; left
720575940635468991,7,7,2,LH.5,LHPV12a1
720575940620464321,5,5,0,CRE.1,"MBON04-LHS, B`2mp_bilateral, FBbt_00111014"
720575940631942341,5,5,1,LH.AL.1,"ALPN,multi_VUMa2"
720575940629011655,5,5,2,AL.50,"ALPN,VP1d_il2PN"
720575940606722249,5,5,1,AL.45,"AL local neuron,ALLN"
720575940619411147,7,7,2,AL.24,ALl1_ventral; right
720575940623137997,5,5,1,AL.72,ALl1_dorsal; left
720575940623146701,5,5,1,AL.27,ALl1_dorsal; left
720575940618385620,7,7,2,AL.15,ALl1_dorsal; right
720575940618308825,7,7,2,AL.MB_CA.1,ALad1; right; acetylcholine
720575940641593051,7,7,2,AL.76,ALl1_dorsal; right
720575940630407388,5,1,1,AL.12,"AL local neuron,ALLN"
720575940623636701,5,7,2,AL.6," il3LN6, Keystone"
720575940637594334,5,5,1,AL.LH.6,ALad1; left; acetylcholine
720575940642506459,5,5,0,SMP.CRE.3,DL1_dorsal; left
720575940633626337,5,5,0,SLP.LH.1,LHCENT2#1-L
720575940634545890,1,5,1,AL.4,"AL local neuron,ALLN"
720575940613804259,5,1,1,AL.32,ALl1_dorsal; left
720575940624694503,5,5,0,MB_ML.CRE.6,"MBON03-LHS, B`2mp, FBbt_00100232"
720575940624832743,5,5,1,AL.93,ALl1_dorsal; left
720575940625419495,5,5,0,LH.8,nan
720575940621398254,7,7,2,AL.26,"AL local neuron,ALLN"
720575940621551854,5,5,1,AL.20,"AL local neuron,ALLN"
720575940631103744,5,5,0,SMP.4,nan
720575940627690246,7,7,2,AL.44,"AL local neuron,ALLN"
