node_id,send_cluster,recv_cluster,mod_cluster,name,community_label
720575940630146871,0,0,6,AVLP.47,nan
720575940628083516,0,0,2,AVLP.1208,"Putative AN; Part of comprehensive neck connective tracing, contact Connectomics Group Cambridge for more detailed information on descending/ascending neurons"
720575940639165247,0,0,3,LO.75,CREa1_ventral; right; gaba
720575940619615552,0,0,4,AVLP.21,not a neuron
720575940620107585,0,0,5,AVLP.344,"Putative AN; Part of comprehensive neck connective tracing, contact Connectomics Group Cambridge for more detailed information on descending/ascending neurons"
720575940630921027,0,0,1,SLP.5,nan
720575940618409797,0,0,0,SAD.WED.6,"AMMC-B1, left"
720575940637954886,0,0,2,AVLP.136,nan
720575940628592968,0,0,3,LO.24,Lobula Tangential neuron 11; LT11; FBbt_00100487
720575940621440859,0,0,0,VES.PLP.1,nan
720575940609258850,0,1,4,PVLP.AVLP.3,nan
720575940637547365,0,0,3,PVLP.AVLP.11,not a neuron
720575940628348265,0,0,6,AVLP.40,nan
720575940631501676,0,0,3,ME.LO.5,#temp_NewType Medulla Lobula 101_M89-L235; ML101_M89-L235
720575940621857133,0,0,2,AVLP.102,nan
720575940638049136,0,0,4,AVLP.79,VLPl4_ventral; left
720575940610903409,0,0,6,AVLP.198,"Putative AN; Part of comprehensive neck connective tracing, contact Connectomics Group Cambridge for more detailed information on descending/ascending neurons"
720575940620690804,0,0,2,AVLP.58,nan
720575940650416505,0,0,3,LO.AVLP.7,Lobula Tangential neuron 1; LT1; FBbt_00003860
720575940623413116,0,0,2,AVLP.29,nan
720575940621689727,0,0,2,AVLP.19,nan
720575940659063169,0,0,2,AVLP.352,nan
720575940622949256,0,0,2,AVLP.101,AVLP_pr07/AVLP_pr08/AVLP_pr13-like
720575940624377224,0,0,2,AVLP.10,not a neuron
720575940628236169,0,0,1,PLP.11,nan
720575940616182155,0,0,0,PVLP.AVLP.10,nan
720575940625102224,0,0,6,AVLP.2,LHAD1g1(HB)
720575940613771666,0,0,2,AVLP.686,"Putative AN; Part of comprehensive neck connective tracing, contact Connectomics Group Cambridge for more detailed information on descending/ascending neurons"
720575940614207894,0,0,6,AVLP.ICL.3,nan
720575940635684762,0,0,4,PVLP.LO.3,nan
720575940644465568,0,0,3,LO.AVLP.23,nan
720575940652554657,0,0,0,PLP.AVLP.2,PLP163(HB)
720575940631698340,3,0,5,AVLP.132,LALv1; left
720575940613065130,0,0,4,PVLP.LO.2,nan
720575940618189227,0,0,0,PLP.AVLP.3,WEDa2; left; gaba
720575940623295415,5,0,2,AVLP.981,"Putative AN; Part of comprehensive neck connective tracing, contact Connectomics Group Cambridge for more detailed information on descending/ascending neurons"
720575940623579063,0,0,6,AVLP.GNG.3,nan
720575940606739390,0,0,4,LO.AVLP.24,nan
720575940608545219,0,0,4,AVLP.1,LHAD1g1(HB) AVLP_pr07/AVLP_pr08/AVLP_pr13-like
720575940630318533,0,0,6,PVLP.AVLP.26,nan
720575940616736198,0,0,4,PVLP.AVLP.8,nan
720575940611666898,0,0,0,PLP.1,nan
720575940630311383,0,0,4,AVLP.LO.1,nan
720575940623203805,0,0,6,AVLP.33,unclassified_IN_FW_18_left
720575940614614495,0,0,3,LO.AVLP.13,nan
720575940604088288,0,0,6,AVLP.6,nan
720575940604470240,0,0,6,GNG.ICL.2,VESa1; left
720575940615912415,0,0,0,PLP.AVLP.5,WEDa2; left; gaba
720575940625563623,0,0,0,SPS.3,pC1e_TopInputs (Neuprint1.1 PS088?)
720575940638900713,0,0,0,PVLP.1,nan
720575940623598058,0,0,1,SLP.AVLP.2,nan
720575940619623407,0,0,6,VES.AVLP.1,nan
720575940627604977,0,1,4,PVLP.AVLP.5,AVLP_pr04
720575940613087218,0,0,4,PVLP.AVLP.12,nan
720575940629609457,0,0,4,AVLP.26,VLPa2; left
720575940651808758,0,0,2,AVLP.932,"Putative AN; Part of comprehensive neck connective tracing, contact Connectomics Group Cambridge for more detailed information on descending/ascending neurons"
720575940653213174,0,0,3,ME.39075,#temp_NewType Medulla Lobula 101_M89-L235; ML101_M89-L235
720575940653480438,0,0,6,CRE.FLA.1,nan
720575940623779327,0,0,5,AVLP.164,nan
