cluster,n_senders,n_receivers,q_contrib
5,87,87,0.18382150879792436
7,52,47,0.1794334988256078
1,2,6,0.017379499745719538
0,4,2,0.008787899017707036
4,2,1,0.005171446432226566
3,1,1,0.005068428011942508
2,2,0,0.0
6,0,6,0.0
