node_id,send_cluster,recv_cluster,mod_cluster,name,community_label
720575940646576436,4,0,0,AL.36,ALl1_dorsal; left
720575940618112310,4,4,0,AL.61,ALl1_dorsal; left
720575940630075703,4,4,2,MB_VL.SMP.7,"MBON12-RHS, y2a`1, FBbt_00111009"
720575940615708482,4,4,0,AL.97,ALl1_dorsal; left
720575940611090244,4,4,2,LH.7,LHCENT8#2-L
720575940619134789,4,4,2,SMP.CRE.1,nan
720575940627594568,4,4,2,MB_VL.MB_ML.1,"PPL103-RHS, y2a`1, FBbt_00100241"
720575940628059978,4,4,0,AL.41,ALl1_dorsal; left
720575940619895125,1,1,1,AL.LH.21,ALad1; right; acetylcholine
720575940638128474,1,6,1,AL.9,"AL local neuron,ALLN"
720575940621529435,4,4,0,AL.MB_CA.7,ALad1; left; acetylcholine
720575940621542747,4,4,0,AL.47,ALl1_dorsal; left
720575940621828443,4,4,2,MB_VL.SMP.9,FLAa3; right; acetylcholine
720575940625585508,4,4,0,AL.70,ALl1_dorsal; left
720575940620595053,4,4,0,AL.LH.20,"ALPN,VL1_ilPN"
720575940637098352,4,4,2,LH.1,LHCENT3#1-L
720575940611379569,1,6,1,AL.7,"AL local neuron,ALLN"
720575940612637554,4,4,0,AL.67,ALl1_dorsal; left
720575940637136752,4,4,0,AL.22,"AL local neuron,ALLN"
720575940630183286,1,1,1,AL.51,ALl1_dorsal; right
720575940637056887,1,1,1,AL.MB_CA.5,ALad1; right; acetylcholine
720575940630770042,1,1,1,AL.MB_CA.3,ALl1_dorsal; right; acetylcholine
720575940618561403,1,1,1,AL.74,ALl1_dorsal; right
720575940621585279,4,4,0,AL.89,ALl1_dorsal; left
720575940640803200,4,0,0,AL.13,"AL local neuron,ALLN"
720575940660217729,4,4,0,AL.95,ALl1_dorsal; left
720575940648570244,4,4,2,SMP.LAL.5,nan
720575940648669060,4,4,1,CRE.AL.1,SMPpv2; right
720575940623001480,4,4,2,MB_VL.SMP.10,"MBON12-LHS, y2a`1, FBbt_00111009"
720575940622920074,1,1,1,AL.56,ALl1_dorsal; right
720575940632795532,6,1,1,AL.1,"AL local neuron,ALLN"
720575940641606541,1,1,1,AL.73,ALl1_dorsal; right
720575940616908177,4,4,0,AL.100,"AL local neuron,ALLN"
720575940635983770,4,4,0,AL.MB_CA.12,"ALPN,DP1l_adPN"
720575940628467611,1,1,1,AL.LH.5,ALad1; right; acetylcholine
720575940619059102,4,4,0,AL.54,"AL local neuron,ALLN"
720575940644704160,1,1,1,AL.37,"AL local neuron,ALLN"
720575940640541091,4,4,0,AL.53,ALl1_dorsal; left
720575940615366055,4,4,0,AL.LH.2,ALad1; left; acetylcholine
720575940628734376,4,4,2,CRE.SMP.1,"MBON04-RHS, B`2mp_bilateral, FBbt_00111014"
720575940620252075,4,4,2,CRE.2,LHp1; left
720575940633938349,1,1,1,AL.65,ALl1_dorsal; right
720575940636489140,4,4,2,LH.2,LHCENT3#1-R
720575940623905719,4,4,2,MB_VL.SMP.8,"MBON12-LHS, y2a`1, FBbt_00111009"
720575940624435128,4,4,0,AL.39,ALl1_dorsal; left
720575940617205179,1,1,1,AL.87,ALl1_dorsal; right
720575940635945919,1,1,1,AL.18,ALv2; right
720575940610161091,4,4,0,AL.80,ALl1_dorsal; left
720575940606056905,1,1,1,AL.62,ALl1_dorsal; right
720575940633294796,4,0,0,AL.10,"AL local neuron,ALLN"
720575940611352014,4,4,0,AL.LH.13,"ALPN,multi_ivPN"
720575940614137809,4,4,0,LH.4,LHPV12a1
720575940611671506,1,1,1,AL.55,ALl1_dorsal; right
720575940618609112,0,0,3,LAL.43,WEDa2; left; gaba
720575940618865112,4,4,0,AL.LH.11,"ALPN,VL2p_adPN"
720575940619245016,4,4,2,SMP.7,"PPL106-LHS, SMP, VFB_jrchk45r"
720575940629792732,4,4,0,AL.59,ALl1_dorsal; left
720575940623528925,1,1,1,AL.MB_CA.9,ALad1; right; acetylcholine
720575940637623780,4,4,0,AL.38,"AL local neuron,ALLN"
720575940613590501,1,6,1,AL.33,ALl1_dorsal; right
720575940618291174,1,4,1,SAD.AL.3,nan
720575940625741287,4,4,2,SMP.1,VESa1; left
720575940619931119,1,1,1,AL.49,ALl1_dorsal; right
720575940640830453,1,1,1,AL.34,"AL local neuron,ALLN"
720575940630247418,4,4,2,LH.9,nan
720575940624117245,4,4,2,MB_ML.SMP.1,"MBON01-RHS, y5B`2a, FBbt_00100234"
