cluster,n_senders,n_receivers,q_contrib,edge_weight,edge_weight_frac,n_edges,unique_senders,unique_receivers
4,98,98,0.18312030196744625,162952.0,0.45040866587246087,3520,115,127
1,51,46,0.1788064245297068,130062.0,0.35949882112955966,2627,67,65
6,2,6,0.019169920775483754,29847.0,0.08249881836550235,356,64,63
0,3,7,0.01737635443073814,27561.0,0.07618018336756158,344,63,62
5,2,1,0.006716068501071208,4297.0,0.011877154237161645,27,27,1
3,3,1,0.00525676898877434,4884.0,0.013499655874865598,42,29,14
2,1,1,0.005056018355026316,2184.0,0.006036701152888302,8,8,1
