node_id,send_cluster,recv_cluster,mod_cluster,name,community_label
720575940628695043,4,4,1,SMP.LAL.6,CREa2_ventral; right
720575940628455942,4,4,1,SMP.LAL.4,nan
720575940623788040,7,6,2,AL.11,"AL local neuron,ALLN"
720575940623792648,4,4,0,AL.98,ALl1_dorsal; left
720575940632403986,4,4,2,AL.5," il3LN6, Keystone"
720575940627927573,7,7,2,AL.28,"AL local neuron,ALLN"
720575940619071005,4,4,0,AL.MB_CA.4,ALl1_dorsal; left; acetylcholine
720575940633483807,7,7,2,AL.21,ALl1_dorsal; right
720575940617537570,7,7,2,AL.64,ALl1_dorsal; right
720575940617749538,5,4,1,MB_PED.CRE.1,"MBON11-LHS, y1pedc>a/B, FBbt_00100246"
720575940618757666,7,6,2,AL.30,ALl1_dorsal; right; serotonin
720575940613792296,4,4,1,LH.MB_VL.1,nan
720575940614956072,4,4,0,AL.17,ALv2; left; acetylcholine
720575940623201833,1,4,1,MB_PED.MB_ML.1,"MBON11-RHS, y1pedc>a/B, FBbt_00100246"
720575940631586858,7,7,2,AL.42,ALl1_dorsal; right
720575940630571052,7,7,2,AL.66,ALl1_dorsal; right
720575940632416298,7,7,2,AL.16,ALl1_dorsal; right
720575940616758322,4,4,0,AL.25,"AL local neuron,ALLN"
720575940630945335,7,7,2,AL.58,ALl1_dorsal; right
720575940631758393,4,4,1,SMP.MB_ML.1,MBON?
720575940626143806,4,7,2,AL.LH.4,"ALPN,V_ilPN"
720575940636873791,7,7,2,AL.MB_CA.13,ALad1; right; acetylcholine
720575940615160386,4,4,0,AL.LH.18,"ALPN,VL1_ilPN"
720575940611079236,7,7,2,AL.MB_CA.6,"ALPN,VA2_adPN"
720575940620975696,0,3,1,MB_ML.2,DPM-RHS
720575940631603281,4,4,0,AL.69,ALl1_dorsal; left
720575940619863125,4,4,1,LH.6,LHCENT8#1-L
720575940631899223,7,7,2,AL.52,ALl1_dorsal; right
720575940621298270,7,7,2,AL.48,ALl1_dorsal; right
720575940635066975,4,4,0,AL.57,"ALPN,VP1m_l2PN"
720575940631287912,7,7,2,AL.79,ALl1_dorsal; right
720575940616169578,7,6,2,AL.8,ALl1_dorsal; right
720575940630546540,7,4,2,AL.LH.3,"ALPN,V_ilPN"
720575940645304430,4,0,1,MB_VL.SMP.6,"MBON13-RHS, a`2, FBbt_00100239"
720575940622726271,4,4,0,AL.MB_CA.2,not a neuron
720575940640031360,4,4,0,SLP.2,LHCENT1#1-L
720575940660217473,7,7,2,AL.40,ALl1_dorsal; right
720575940648633988,4,4,0,AL.77,ALl1_dorsal; left; acetylcholine
720575940648650884,7,7,2,AL.MB_CA.10,ALad1; right
720575940622999688,4,4,1,SMP.CRE.4,nan
720575940624206472,4,4,1,SMP.AL.1,SMPpv2; left
720575940623387786,4,4,1,SMP.CRE.2,nan
720575940631423116,7,7,2,AL.60,ALl1_dorsal; right
720575940631704716,4,4,0,AL.78,ALl1_dorsal; left
720575940643309197,4,4,1,MB_ML.SMP.2,SMPad3; left; glutamate
720575940634034839,7,7,2,AL.68,ALl1_dorsal; right
720575940613583001,4,5,1,MB_ML.MB_CA.1,APL-LHS
720575940613635737,4,4,1,PLP.13,"OA-VUMa6 (mx); Busch et al., 2009"
720575940612284569,7,7,2,AL.MB_CA.11,ALl1_ventral; right
720575940618295454,7,7,2,AL.LH.8,ALad1; right; acetylcholine
720575940632943277,4,4,1,SMP.LAL.3,"MBON35-LHS, y2, FBbt_00049855"
720575940613203119,4,4,2,AL.MB_CA.26,"ALPN,multi_ivPN"
720575940612347571,4,4,0,AL.71,ALl1_dorsal; left
720575940636576948,4,4,2,LH.AL.2,"ALPN,multi_VUMa2"
720575940622338742,4,4,0,AL.86,ALl1_dorsal; left
720575940616197819,4,4,0,AL.75,ALl1_dorsal; left
720575940617299131,4,4,0,AL.46,ALl1_dorsal; left
720575940605758142,4,2,0,AL.14,ALl1_dorsal; left
720575940635468991,7,7,2,LH.5,LHPV12a1
720575940620464321,4,4,1,CRE.1,"MBON04-LHS, B`2mp_bilateral, FBbt_00111014"
720575940630914245,5,4,1,PLP.MB_CA.1,nan
720575940615886534,4,4,1,SLP.3,LHCENT6#1-L
720575940629011655,4,4,0,AL.50,"ALPN,VP1d_il2PN"
720575940631942341,4,4,2,LH.AL.1,"ALPN,multi_VUMa2"
720575940606722249,4,4,0,AL.45,"AL local neuron,ALLN"
720575940619411147,7,7,2,AL.24,ALl1_ventral; right
720575940623137997,4,4,0,AL.72,ALl1_dorsal; left
720575940623146701,4,4,0,AL.27,ALl1_dorsal; left
720575940618385620,7,7,2,AL.15,ALl1_dorsal; right
720575940618308825,7,7,2,AL.MB_CA.1,ALad1; right; acetylcholine
720575940641593051,7,7,2,AL.76,ALl1_dorsal; right
720575940630407388,4,2,0,AL.12,"AL local neuron,ALLN"
720575940623636701,4,7,2,AL.6," il3LN6, Keystone"
720575940637594334,4,4,0,AL.LH.6,ALad1; left; acetylcholine
720575940642506459,4,4,1,SMP.CRE.3,DL1_dorsal; left
720575940633626337,4,4,1,SLP.LH.1,LHCENT2#1-L
720575940634545890,2,4,0,AL.4,"AL local neuron,ALLN"
720575940613804259,4,2,0,AL.32,ALl1_dorsal; left
720575940624694503,4,4,1,MB_ML.CRE.6,"MBON03-LHS, B`2mp, FBbt_00100232"
720575940624832743,4,4,0,AL.93,ALl1_dorsal; left
720575940625419495,4,4,1,LH.8,nan
720575940621398254,7,7,2,AL.26,"AL local neuron,ALLN"
720575940621551854,4,4,0,AL.20,"AL local neuron,ALLN"
720575940631103744,4,4,1,SMP.4,nan
720575940626315010,4,4,1,MB_VL.SMP.5,"MBON13-LHS, a`2, FBbt_00100239"
720575940627690246,7,7,2,AL.44,"AL local neuron,ALLN"
720575940609282825,2,4,0,AL.3,"AL local neuron,ALLN"
720575940625934094,5,4,1,MB_ML.3,DPM-LHS
720575940621457690,4,4,1,SMP.3,nan
720575940623000858,6,7,2,AL.2,ALl1_dorsal; right
720575940626342174,4,4,0,AL.85,ALl1_dorsal; left; acetylcholine
720575940624547622,3,1,1,MB_ML.1,APL-RHS
720575940624879911,4,4,0,AL.MB_CA.8,ALl1_ventral; left
720575940632197930,7,7,2,AL.81,ALl1_dorsal; right
720575940646576436,4,2,0,AL.36,ALl1_dorsal; left
720575940618112310,4,4,0,AL.61,ALl1_dorsal; left
720575940630075703,4,4,1,MB_VL.SMP.7,"MBON12-RHS, y2a`1, FBbt_00111009"
720575940615708482,4,4,0,AL.97,ALl1_dorsal; left
720575940611090244,4,4,1,LH.7,LHCENT8#2-L
720575940619134789,4,4,1,SMP.CRE.1,nan
720575940627594568,4,4,1,MB_VL.MB_ML.1,"PPL103-RHS, y2a`1, FBbt_00100241"
720575940628059978,4,4,0,AL.41,ALl1_dorsal; left
720575940619895125,7,7,2,AL.LH.21,ALad1; right; acetylcholine
720575940638128474,7,6,2,AL.9,"AL local neuron,ALLN"
720575940621529435,4,4,0,AL.MB_CA.7,ALad1; left; acetylcholine
720575940621542747,4,4,0,AL.47,ALl1_dorsal; left
720575940621828443,4,4,1,MB_VL.SMP.9,FLAa3; right; acetylcholine
720575940625585508,4,4,0,AL.70,ALl1_dorsal; left
720575940620595053,4,4,0,AL.LH.20,"ALPN,VL1_ilPN"
720575940637098352,4,4,1,LH.1,LHCENT3#1-L
720575940611379569,7,6,2,AL.7,"AL local neuron,ALLN"
720575940612637554,4,4,0,AL.67,ALl1_dorsal; left
720575940637136752,4,4,0,AL.22,"AL local neuron,ALLN"
720575940630183286,7,7,2,AL.51,ALl1_dorsal; right
720575940637056887,7,7,2,AL.MB_CA.5,ALad1; right; acetylcholine
720575940630770042,7,7,2,AL.MB_CA.3,ALl1_dorsal; right; acetylcholine
720575940618561403,7,7,2,AL.74,ALl1_dorsal; right
720575940621585279,4,4,0,AL.89,ALl1_dorsal; left
720575940640803200,4,2,0,AL.13,"AL local neuron,ALLN"
720575940660217729,4,4,0,AL.95,ALl1_dorsal; left
720575940648570244,4,4,1,SMP.LAL.5,nan
720575940648669060,4,4,2,CRE.AL.1,SMPpv2; right
720575940623001480,4,4,1,MB_VL.SMP.10,"MBON12-LHS, y2a`1, FBbt_00111009"
720575940622920074,7,7,2,AL.56,ALl1_dorsal; right
720575940632795532,6,7,2,AL.1,"AL local neuron,ALLN"
720575940641606541,7,7,2,AL.73,ALl1_dorsal; right
720575940616908177,4,4,0,AL.100,"AL local neuron,ALLN"
720575940635983770,4,4,0,AL.MB_CA.12,"ALPN,DP1l_adPN"
720575940628467611,7,7,2,AL.LH.5,ALad1; right; acetylcholine
720575940619059102,4,4,0,AL.54,"AL local neuron,ALLN"
720575940644704160,7,7,2,AL.37,"AL local neuron,ALLN"
720575940640541091,4,4,0,AL.53,ALl1_dorsal; left
720575940615366055,4,4,0,AL.LH.2,ALad1; left; acetylcholine
720575940628734376,4,4,1,CRE.SMP.1,"MBON04-RHS, B`2mp_bilateral, FBbt_00111014"
720575940620252075,4,4,1,CRE.2,LHp1; left
720575940633938349,7,7,2,AL.65,ALl1_dorsal; right
720575940636489140,4,4,1,LH.2,LHCENT3#1-R
720575940623905719,4,4,1,MB_VL.SMP.8,"MBON12-LHS, y2a`1, FBbt_00111009"
720575940624435128,4,4,0,AL.39,ALl1_dorsal; left
720575940617205179,7,7,2,AL.87,ALl1_dorsal; right
720575940635945919,7,7,2,AL.18,ALv2; right
720575940610161091,4,4,0,AL.80,ALl1_dorsal; left
720575940606056905,7,7,2,AL.62,ALl1_dorsal; right
720575940633294796,4,2,0,AL.10,"AL local neuron,ALLN"
720575940611352014,4,4,0,AL.LH.13,"ALPN,multi_ivPN"
720575940614137809,4,4,0,LH.4,LHPV12a1
720575940611671506,7,7,2,AL.55,ALl1_dorsal; right
720575940618865112,4,4,0,AL.LH.11,"ALPN,VL2p_adPN"
720575940619245016,4,4,1,SMP.7,"PPL106-LHS, SMP, VFB_jrchk45r"
720575940629792732,4,4,0,AL.59,ALl1_dorsal; left
720575940623528925,7,7,2,AL.MB_CA.9,ALad1; right; acetylcholine
720575940603464672,4,4,0,AL.LH.7,"ALPN,VL2a_adPN"
720575940637623780,4,4,0,AL.38,"AL local neuron,ALLN"
720575940613590501,7,6,2,AL.33,ALl1_dorsal; right
720575940618291174,7,0,2,SAD.AL.3,nan
720575940625741287,4,4,1,SMP.1,VESa1; left
720575940619931119,7,7,2,AL.49,ALl1_dorsal; right
720575940640830453,7,7,2,AL.34,"AL local neuron,ALLN"
720575940630247418,4,4,1,LH.9,nan
720575940624117245,4,4,1,MB_ML.SMP.1,"MBON01-RHS, y5B`2a, FBbt_00100234"
