node,send_comm,recv_comm,bimod_score
720575940661289345,0,0,0.9628708276646104
720575940603464672,0,0,0.9628708276646104
720575940604088288,0,0,0.9628708276646104
720575940604352172,0,0,0.9628708276646104
720575940604458668,0,0,0.9628708276646104
720575940604470240,0,0,0.9628708276646104
720575940604569824,0,0,0.9628708276646104
720575940604653484,0,0,0.9628708276646104
720575940648633988,0,0,0.9628708276646104
720575940648570244,0,0,0.9628708276646104
720575940647935028,0,0,0.9628708276646104
720575940647586948,0,0,0.9628708276646104
720575940647436835,0,0,0.9628708276646104
720575940647228468,0,0,0.9628708276646104
720575940647207044,0,0,0.9628708276646104
720575940647075619,0,0,0.9628708276646104
720575940646576436,0,0,0.9628708276646104
720575940646521198,0,0,0.9628708276646104
720575940646419747,0,0,0.9628708276646104
720575940646364014,0,0,0.9628708276646104
720575940645693988,0,0,0.9628708276646104
720575940645579556,0,0,0.9628708276646104
720575940645527918,0,0,0.9628708276646104
720575940645304430,0,0,0.9628708276646104
720575940608181122,0,0,0.9628708276646104
720575940608144732,0,0,0.9628708276646104
720575940608120587,0,0,0.9628708276646104
720575940607982428,0,0,0.9628708276646104
720575940607774044,0,0,0.9628708276646104
720575940607761244,0,0,0.9628708276646104
720575940607725321,0,0,0.9628708276646104
720575940607689394,0,0,0.9628708276646104
720575940607667723,0,0,0.9628708276646104
720575940607635913,0,0,0.9628708276646104
720575940607272649,0,0,0.9628708276646104
720575940607162754,0,0,0.9628708276646104
720575940607155890,0,0,0.9628708276646104
720575940606946690,0,0,0.9628708276646104
720575940606762686,0,0,0.9628708276646104
720575940606756030,0,0,0.9628708276646104
720575940609725705,0,0,0.9628708276646104
720575940609598475,0,0,0.9628708276646104
720575940609488942,0,0,0.9628708276646104
720575940609460491,0,0,0.9628708276646104
720575940609282825,0,0,0.9628708276646104
720575940609258850,0,0,0.9628708276646104
720575940609137500,0,0,0.9628708276646104
720575940608545219,0,0,0.9628708276646104
720575940608343620,0,0,0.9628708276646104
720575940608336514,0,0,0.9628708276646104
720575940608293129,0,0,0.9628708276646104
720575940608287497,0,0,0.9628708276646104
720575940608252082,0,0,0.9628708276646104
720575940608235186,0,0,0.9628708276646104
720575940608188427,0,0,0.9628708276646104
720575940608185730,0,0,0.9628708276646104
720575940611167842,0,0,0.9628708276646104
720575940611092548,0,0,0.9628708276646104
720575940611079236,0,0,0.9628708276646104
720575940610980932,0,0,0.9628708276646104
720575940610964946,0,0,0.9628708276646104
720575940610899666,0,0,0.9628708276646104
720575940610640482,0,0,0.9628708276646104
720575940610584184,0,0,0.9628708276646104
